GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier,cell_count_v3_Target,cell_count_v3_Effector,cell_count_v3_dead_Target,cell_count_v3_dead_Effector
0,0.999999999999994,3278,107,65,3213,42,3343,172,130,130,0,1,Mix,False,2.0,0.0,0.0,0.0
1,0.9424999999999908,2495,116,70,2425,46,2565,186,140,140,0,1,Mix,False,4.0,0.0,0.0,0.0
2,0.9999999999999896,2756,116,70,2686,46,2826,186,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
3,0.9974999999999896,3016,116,70,2946,46,3086,186,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
4,0.9999999999999896,3536,120,69,3467,51,3605,189,138,138,0,1,Mix,False,2.0,0.0,0.0,0.0
5,0.9999999999999896,3785,121,70,3715,51,3855,191,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
6,0.9999999999999896,4044,124,70,3974,54,4114,194,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
7,0.9999999999999896,4303,125,70,4233,55,4373,195,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
8,0.9999999999999896,4568,130,70,4498,60,4638,200,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
9,0.9999999999999896,5080,130,70,5010,60,5150,200,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
10,0.9999999999999896,5340,130,70,5270,60,5410,200,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
11,0.9649999999999904,4824,133,70,4754,63,4894,203,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
12,0.98249999999999,2886,190,70,2816,120,2956,260,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
13,0.9099999999999916,2626,191,70,2556,121,2696,261,140,140,0,1,Mix,False,2.0,0.0,1.0,0.0
14,0.8724999999999924,3146,192,70,3076,122,3216,262,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
15,0.9999999999999896,3406,194,70,3336,124,3476,264,140,140,0,1,Mix,True,2.0,0.0,0.0,0.0
16,0.999999999999994,3660,195,65,3595,130,3725,260,130,130,0,1,Mix,False,2.0,0.0,0.0,0.0
17,0.9949999999999898,3914,197,70,3844,127,3984,267,140,140,0,1,Mix,False,0.0,1.0,0.0,0.0
18,0.9999999999999896,4173,200,70,4103,130,4243,270,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
19,0.97999999999999,4437,202,70,4367,132,4507,272,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
20,0.7724999999999945,5469,205,70,5399,135,5539,275,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
21,0.9999999999999896,5208,206,70,5138,136,5278,276,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
22,0.9999999999999896,4694,208,70,4624,138,4764,278,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
23,0.9999999999999896,4952,209,70,4882,139,5022,279,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
24,0.9599999999999904,2496,265,70,2426,195,2566,335,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
25,0.9574999999999906,2755,265,70,2685,195,2825,335,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
26,0.97999999999999,3016,266,70,2946,196,3086,336,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
27,0.9974999999999896,3275,267,70,3205,197,3345,337,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
28,0.9599999999999904,3536,268,70,3466,198,3606,338,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
29,0.9999999999999896,3783,271,70,3713,201,3853,341,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
30,0.9999999999999896,4042,273,70,3972,203,4112,343,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
31,0.9424999999999908,4565,281,70,4495,211,4635,351,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
32,0.9999999999999896,4823,283,70,4753,213,4893,353,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
33,0.9999999999999896,5082,284,70,5012,214,5152,354,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
34,0.9199999999999914,2885,340,70,2815,270,2955,410,140,140,0,1,Mix,True,1.0,0.0,0.0,0.0
35,0.889999999999992,2625,341,70,2555,271,2695,411,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
36,0.8749999999999923,3145,342,70,3075,272,3215,412,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
37,0.9649999999999904,3404,344,70,3334,274,3474,414,140,140,0,1,Mix,False,2.0,1.0,0.0,0.0
38,0.9999999999999896,3912,347,70,3842,277,3982,417,140,140,0,1,Mix,False,4.0,0.0,0.0,0.0
39,0.9974999999999896,3659,353,70,3589,283,3729,423,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
40,0.9999999999999896,4435,356,70,4365,286,4505,426,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
41,0.98249999999999,4694,357,70,4624,287,4764,427,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
42,0.9974999999999896,4952,359,70,4882,289,5022,429,140,140,0,1,Mix,False,2.0,2.0,0.0,0.0
43,0.7124999999999958,5468,359,70,5398,289,5538,429,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
44,0.9999999999999896,5210,360,70,5140,290,5280,430,140,140,0,1,Mix,False,3.0,0.0,1.0,0.0
45,0.8949999999999919,2494,415,70,2424,345,2564,485,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
46,0.9924999999999898,2754,415,70,2684,345,2824,485,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
47,0.9449999999999908,3015,416,70,2945,346,3085,486,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
48,0.9999999999999896,3274,417,70,3204,347,3344,487,140,140,0,1,Mix,False,0.0,1.0,0.0,0.0
49,0.8271276595744647,3794,417,65,3729,352,3859,482,130,130,0,1,Mix,False,0.0,0.0,0.0,0.0
50,0.9999999999999896,3528,425,70,3458,355,3598,495,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
51,0.98249999999999,4304,430,70,4234,360,4374,500,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
52,0.9999999999999896,4564,432,70,4494,362,4634,502,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
53,0.9999999999999896,4822,433,70,4752,363,4892,503,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
54,0.9999999999999896,4042,434,70,3972,364,4112,504,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
55,0.9999999999999896,5081,434,70,5011,364,5151,504,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
56,0.9999999999999896,5339,435,70,5269,365,5409,505,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
57,0.9299999999999912,2623,491,70,2553,421,2693,561,140,140,0,1,Mix,True,0.0,0.0,0.0,0.0
58,0.8499999999999929,2884,491,70,2814,421,2954,561,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
59,0.9249999999999912,3145,492,70,3075,422,3215,562,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
60,0.9999999999999896,3906,496,70,3836,426,3976,566,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
61,0.9724999999999904,3399,499,70,3329,429,3469,569,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
62,0.9299999999999912,3656,503,70,3586,433,3726,573,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
63,0.9999999999999896,4174,505,70,4104,435,4244,575,140,140,0,1,Mix,False,2.0,0.0,1.0,0.0
64,0.9974999999999896,4435,506,70,4365,436,4505,576,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
65,0.9999999999999896,4694,507,70,4624,437,4764,577,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
66,0.9999999999999896,4952,508,70,4882,438,5022,578,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
67,0.9999999999999896,5210,509,70,5140,439,5280,579,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
68,0.9999999999999896,5468,510,70,5398,440,5538,580,140,140,0,1,Mix,False,4.0,0.0,0.0,0.0
69,0.8799999999999922,2753,565,70,2683,495,2823,635,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
70,0.9149999999999916,3014,566,70,2944,496,3084,636,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
71,0.9674999999999904,3270,574,70,3200,504,3340,644,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
72,0.9999999999999896,3526,576,70,3456,506,3596,646,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
73,0.999999999999994,4051,579,65,3986,514,4116,644,130,130,0,1,Mix,False,2.0,0.0,0.0,0.0
74,0.9999999999999896,3784,580,70,3714,510,3854,650,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
75,0.98749999999999,4304,580,70,4234,510,4374,650,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
76,0.9999999999999896,4564,581,70,4494,511,4634,651,140,140,0,1,Mix,False,2.0,0.0,1.0,0.0
77,0.9999999999999896,4822,582,70,4752,512,4892,652,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
78,0.9999999999999896,5080,583,70,5010,513,5150,653,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
79,0.9999999999999896,5338,584,69,5269,515,5407,653,138,138,0,1,Mix,False,3.0,0.0,0.0,0.0
80,0.9999999999999896,2624,640,70,2554,570,2694,710,140,140,0,1,Mix,True,0.0,0.0,1.0,0.0
81,0.8649999999999926,2883,640,70,2813,570,2953,710,140,140,0,1,Mix,True,1.0,0.0,0.0,0.0
82,0.9999999999999896,3918,645,70,3848,575,3988,715,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
83,0.9924999999999898,3140,647,70,3070,577,3210,717,140,140,0,1,Mix,True,1.0,0.0,0.0,0.0
84,0.9999999999999896,3398,651,70,3328,581,3468,721,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
85,0.9999999999999896,3654,652,70,3584,582,3724,722,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
86,0.9999999999999896,4173,654,70,4103,584,4243,724,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
87,0.9999999999999896,4434,655,70,4364,585,4504,725,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
88,0.9999999999999896,4692,656,70,4622,586,4762,726,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
89,0.9999999999999896,4951,657,70,4881,587,5021,727,140,140,0,1,Mix,False,3.0,0.0,0.0,0.0
90,0.9999999999999896,5209,658,70,5139,588,5279,728,140,140,0,1,Mix,False,2.0,0.0,0.0,0.0
91,0.9649999999999904,5468,659,70,5398,589,5538,729,140,140,0,1,Mix,False,1.0,0.0,0.0,0.0
92,0.9599999999999904,2753,715,70,2683,645,2823,785,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
93,0.9049999999999916,3010,721,70,2940,651,3080,791,140,140,0,1,Mix,False,0.0,0.0,0.0,0.0
94,0.999999999999994,3273,724,65,3208,659,3338,789,130,130,0,1,Mix,False,0.0,0.0,0.0,0.0
