GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier,cell_count_v3_Target,cell_count_v3_Effector,cell_count_v3_dead_Target,cell_count_v3_dead_Effector
0,0.7499999999999977,704,88,65,639,23,769,153,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
1,0.7473404255319126,806,88,65,741,23,871,153,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
2,0.7579787234042529,984,89,65,919,24,1049,154,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
3,0.7606382978723379,1260,90,65,1195,25,1325,155,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
4,0.8138297872340393,288,107,65,223,42,353,172,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
5,0.7978723404255289,387,109,65,322,44,452,174,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
6,0.84042553191489,1786,113,65,1721,48,1851,178,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
7,0.7898936170212737,568,116,65,503,51,633,181,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
8,0.999999999999994,6132,117,65,6067,52,6197,182,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
9,0.8333333333333299,2854,118,67,2787,51,2921,185,134,134,0,1,HFE7500_THP1_300_170,True,0,0,0,0
10,0.8510638297872303,3286,119,65,3221,54,3351,184,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
11,0.8297872340425497,3732,120,65,3667,55,3797,185,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
12,0.8351063829787199,3884,120,65,3819,55,3949,185,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
13,0.8749999999999959,3426,121,65,3361,56,3491,186,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
14,0.8670212765957407,3588,121,65,3523,56,3653,186,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
15,0.8271276595744647,4012,121,65,3947,56,4077,186,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
16,0.880319148936166,2952,126,65,2887,61,3017,191,130,130,0,1,HFE7500_THP1_300_170,True,0,0,0,0
17,0.803191489361699,2644,127,65,2579,62,2709,192,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
