GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier
0,0.999999999999994,1794,98,65,1729,33,1859,163,130,130,0,1,HFE7500_K562_300_150_region15,False
1,0.9441489361702076,1664,103,65,1599,38,1729,168,130,130,0,1,HFE7500_K562_300_150_region15,False
2,0.999999999999994,1932,104,65,1867,39,1997,169,130,130,0,1,HFE7500_K562_300_150_region15,False
3,0.999999999999994,5152,112,65,5087,47,5217,177,130,130,0,1,HFE7500_K562_300_150_region15,False
4,0.999999999999994,1539,118,65,1474,53,1604,183,130,130,0,1,HFE7500_K562_300_150_region15,False
5,0.999999999999994,5292,119,65,5227,54,5357,184,130,130,0,1,HFE7500_K562_300_150_region15,False
6,0.999999999999994,2199,124,65,2134,59,2264,189,130,130,0,1,HFE7500_K562_300_150_region15,False
7,0.999999999999994,2332,125,65,2267,60,2397,190,130,130,0,1,HFE7500_K562_300_150_region15,False
8,0.999999999999994,5426,126,65,5361,61,5491,191,130,130,0,1,HFE7500_K562_300_150_region15,False
9,0.999999999999994,2464,130,65,2399,65,2529,195,130,130,0,1,HFE7500_K562_300_150_region15,False
10,0.999999999999994,2065,131,65,2000,66,2130,196,130,130,0,1,HFE7500_K562_300_150_region15,False
11,0.999999999999994,3387,133,65,3322,68,3452,198,130,130,0,1,HFE7500_K562_300_150_region15,False
12,0.999999999999994,3522,134,65,3457,69,3587,199,130,130,0,1,HFE7500_K562_300_150_region15,False
13,0.999999999999994,3656,135,65,3591,70,3721,200,130,130,0,1,HFE7500_K562_300_150_region15,False
14,0.999999999999994,3790,137,65,3725,72,3855,202,130,130,0,1,HFE7500_K562_300_150_region15,False
15,0.999999999999994,2862,138,65,2797,73,2927,203,130,130,0,1,HFE7500_K562_300_150_region15,False
16,0.999999999999994,4720,138,65,4655,73,4785,203,130,130,0,1,HFE7500_K562_300_150_region15,False
17,0.999999999999994,4588,139,65,4523,74,4653,204,130,130,0,1,HFE7500_K562_300_150_region15,False
18,0.999999999999994,3922,140,65,3857,75,3987,205,130,130,0,1,HFE7500_K562_300_150_region15,False
19,0.999999999999994,4853,141,65,4788,76,4918,206,130,130,0,1,HFE7500_K562_300_150_region15,False
20,0.999999999999994,4055,142,65,3990,77,4120,207,130,130,0,1,HFE7500_K562_300_150_region15,False
21,0.999999999999994,4189,142,65,4124,77,4254,207,130,130,0,1,HFE7500_K562_300_150_region15,False
22,0.999999999999994,2597,143,65,2532,78,2662,208,130,130,0,1,HFE7500_K562_300_150_region15,False
23,0.999999999999994,4323,144,65,4258,79,4388,209,130,130,0,1,HFE7500_K562_300_150_region15,False
24,0.999999999999994,4984,144,65,4919,79,5049,209,130,130,0,1,HFE7500_K562_300_150_region15,False
25,0.999999999999994,2731,146,65,2666,81,2796,211,130,130,0,1,HFE7500_K562_300_150_region15,False
26,0.9734042553191434,3125,149,65,3060,84,3190,214,130,130,0,1,HFE7500_K562_300_150_region15,False
27,0.7656249999999976,4449,149,67,4382,82,4516,216,134,134,0,1,HFE7500_K562_300_150_region15,False
28,0.999999999999994,5859,151,65,5794,86,5924,216,130,130,0,1,HFE7500_K562_300_150_region15,False
29,0.999999999999994,5593,152,65,5528,87,5658,217,130,130,0,1,HFE7500_K562_300_150_region15,False
30,0.999999999999994,5726,152,65,5661,87,5791,217,130,130,0,1,HFE7500_K562_300_150_region15,False
31,0.999999999999994,6124,154,65,6059,89,6189,219,130,130,0,1,HFE7500_K562_300_150_region15,False
32,0.999999999999994,6262,155,65,6197,90,6327,220,130,130,0,1,HFE7500_K562_300_150_region15,False
33,0.999999999999994,6395,157,65,6330,92,6460,222,130,130,0,1,HFE7500_K562_300_150_region15,False
34,0.999999999999994,6657,160,65,6592,95,6722,225,130,130,0,1,HFE7500_K562_300_150_region15,False
35,0.999999999999994,3257,161,65,3192,96,3322,226,130,130,0,1,HFE7500_K562_300_150_region15,False
36,0.999999999999994,6527,162,65,6462,97,6592,227,130,130,0,1,HFE7500_K562_300_150_region15,False
37,0.8457446808510601,6001,164,65,5936,99,6066,229,130,130,0,1,HFE7500_K562_300_150_region15,False
38,0.999999999999994,2990,168,65,2925,103,3055,233,130,130,0,1,HFE7500_K562_300_150_region15,False
39,0.999999999999994,6798,168,65,6733,103,6863,233,130,130,0,1,HFE7500_K562_300_150_region15,False
40,0.999999999999994,6931,169,65,6866,104,6996,234,130,130,0,1,HFE7500_K562_300_150_region15,False
41,0.999999999999994,7063,172,65,6998,107,7128,237,130,130,0,1,HFE7500_K562_300_150_region15,False
42,0.999999999999994,7333,174,65,7268,109,7398,239,130,130,0,1,HFE7500_K562_300_150_region15,False
43,0.999999999999994,7467,174,65,7402,109,7532,239,130,130,0,1,HFE7500_K562_300_150_region15,False
44,0.999999999999994,7200,176,65,7135,111,7265,241,130,130,0,1,HFE7500_K562_300_150_region15,False
