image,droplet_id,x_px,y_px,radius_px,diameter_px,diameter_um,partial_edge,status
TECH_XG_014_1_300_100_12hr_ch00.png,1,1330.2,382.2,107.76,215.52,72.65,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,2,1446.6,616.2,106.32,212.64,71.679,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,3,594.6,838.2,109.8,219.6,74.026,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,4,1673.4,606.6,108.6,217.2,73.216,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,5,1554.6,412.2,108.12,216.24,72.893,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,6,1469.4,840.6,106.2,212.4,71.598,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,7,418.2,993.0,109.8,219.6,74.026,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,8,1695.0,833.4,107.16,214.32,72.246,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,9,702.6,466.2,118.44,236.88,79.85,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,10,1049.4,99.0,109.08,218.16,73.54,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,11,283.8,549.0,118.32,236.64,79.77,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,12,1350.6,1035.0,108.96,217.92,73.459,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,13,635.4,1074.6,109.56,219.12,73.864,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,14,984.6,775.8,110.52,221.04,74.511,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,15,1258.2,754.2,110.52,221.04,74.511,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,16,652.2,245.4,111.72,223.44,75.32,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,17,1167.0,541.8,109.08,218.16,73.54,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,18,331.8,777.0,108.48,216.96,73.136,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,19,1507.8,189.0,107.76,215.52,72.65,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,20,940.2,523.8,107.4,214.8,72.407,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,21,880.2,301.8,109.08,218.16,73.54,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,22,1110.6,319.8,108.0,216.0,72.812,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,23,1283.4,160.2,107.28,214.56,72.327,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,24,189.0,336.6,111.6,223.2,75.239,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,25,808.2,924.6,108.84,217.68,73.378,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,26,373.8,185.4,108.96,217.92,73.459,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,27,777.0,679.8,104.52,209.04,70.466,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,28,102.6,750.6,107.4,214.8,72.407,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,29,1135.8,951.0,110.28,220.56,74.349,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,30,504.6,624.6,110.76,221.52,74.673,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,31,820.2,78.6,110.04,220.08,74.187,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,32,156.6,94.2,117.84,235.68,79.446,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,33,49.8,525.0,110.88,221.76,74.754,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,34,1715.4,1060.2,109.44,218.88,73.783,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,35,479.4,390.6,111.48,222.96,75.158,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,36,1734.6,251.4,109.44,218.88,73.783,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,37,191.4,966.6,111.72,223.44,75.32,False,KEEP
TECH_XG_014_1_300_100_12hr_ch00.png,38,547.8,36.6,117.72,235.44,79.365,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,39,1663.8,27.0,106.2,212.4,71.598,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,40,852.6,1134.6,98.88,197.76,66.663,True,PARTIAL_EDGE
TECH_XG_014_1_300_100_12hr_ch00.png,41,48.6,1127.4,93.96,187.92,63.346,True,PARTIAL_EDGE
